,Tweets
674,"⚠️ Companheiros de Cristiano Ronaldo no United foram vistos COMEMORANDO quando ele afirmou que gostaria de sair nessa janela de transferências.🥳

🗞️ @ESPNUK https://t.co/u8VsgU9XPf"
675,@Ale_RMFC @Cristiano Falta poco. Lo que mas tarda es lo que mas bueno esta por llegar 🐐🙌🏽🔥 SIUUUUU
676,@mackolik cok yakıştı bir zamanda diego maradona oynamıştı efsane napoli de şampiyonluk yaşadı ve uefa şampiyon vardı sanırım yanlış hatıramıyorsam umarım ronaldo şampiyon yapar ve uefa şampiyon olur inş.
677,@A10Savage @Jr_rae @utdcrownprince @mufcMPB @carlolaudisa Your not a Man Utd fan… your a ronaldo fan so don’t talk on these matters.
678,"@Ronaldo_aff Barba branco, rouge KKKKKK"
679,@Jim45398857 @Rimpelzak__ @Mufc_AS @TheEuropeanLad @MikeVerweij Ronaldo Isnt Leaving So I won’t answer that hypothetical
680,@JuLaYiAADHF @ronaldo_mb_dhf Niku am pani babu allu arjun gurinchi topic ra ledu ga
681,"O Pai Cristiano vai assinar pelo Benfica, podem confiar. O melhor jogador de todos tempos, vindo da Madeira, a jogar na mesma equipa que o Ronaldo.

Henrique Araújo e Cristiano 🙏🏻

#slbenfica"
682,@RMadrid_actu @marca @vinijr Il faut être con pour le comparer à des mecs qui ont même age que lui et on plus de 160 buts en carrière et qui sont presque comparés statistiquement à Messi et Ronaldo...
683,Esto es lo que ha dado de sí aquel fichaje de Ronaldo: Stiven Plaza. #Pucela #ASCyL https://t.co/8Qb6vSLej0
684,"@pricelessmmg @vandebackk I know you are joking.
But Ronaldo at this present age is nothing but trouble.
Am eager for him to leave our Club"
685,@Blue_Footy Not good for the dressing room BUT Reece James crossing balls Ronaldo 👀
686,So Chelsea might still sign Ronaldo 😂👀 https://t.co/vrvRsZu7xm
687,@Ale_RMFC @Cristiano Cuando otro EN VIVO bro???
688,"Leclerc en esta entrevista eligio a Ronaldo sobre Messi. Segundos después, en la misma entrevista, eligió PADEL SOBRE FÚTBOL. 🤷🏻‍♂️🤷🤷‍♀️ https://t.co/wzAW4TqkKe"
689,"@Archersknight No surprises
In additional to Auba, CFC will sign either of Gordon, Zaha or Ronaldo in that order"
690,@Ronaldo_aff Pra mim n é nenhuma dessas opções
691,@Fumzerleretour @wahraniii6 @AchilleBekono @SoouullX @saile_jedusor @_Cristiano9_3 Mais espèce d'attardé on a jms dit qu'il était nul mais que c'était un attaquant moins complet que Ronaldo
692,@Castro1021 How has Ronaldo got 85 dribbling? Like how 😂
693,Game Over? Cristiano Ronaldo Jelas Marah Cuma Jadi Cadangan Di Manchester United https://t.co/ORthkNcvm2
694,Si antony c est 100 Millions Mbappe 180 ney 222 messi et ronaldo 400 voir 500 million minimum https://t.co/jkqkoeuHaf
695,"@skysports_sheth  Yesss lad tell her!  100 goals in20/22 without Ronaldo 
70-80 goals in 21/2 with Ronaldo. 

So @MelissaReddy_  i don’t think it’s a problem, again stop trying to make a story out of nothing. Just because it benefits you to drum up nonesense stories. 👍"
696,@Ale_RMFC @Cristiano Chelsea o Bayern 🙏🏼
697,@adeloTroBo de bruyne + physique que ronaldo 🤣🤣
698,Kim Min Jae- Elif Elmas- Ronaldo. 🫠 https://t.co/VnYL7rsxjR
699,Is Ronaldo leaving?
700,"Honestamente, @Cristiano no está para estar bloqueando ofertas de @sscnapoli y exigiendo @ChelseaFC, es limosneros con garrote esto..."
701,"@ManUtd @Casemiro O Manchester United tem uma comunidade gigante em países de língua portuguesa. 

Tem Cristiano Ronaldo, Dalot, Bruno Fernandes, Casemiro, Fred e Antony. 

Chegou a hora de ter um perfil em português, @ManUtd @_Nick

Atenda o pedido dos torcedores e da comunidade. #ManUtdPT 👹👹👹"
702,@agus_vinci22 COMO TE PUEDE GUSTAR RONALDO PEDAZO DE SIN CEREBRO
703,"@Ronaldo_aff O chapéu dele está dentro de outro. Tem até um SBS do mangá em que o Oda desenha como é colocação dos dois chapéus do Chopper, mas não consegui achar pra te mostrar. Mas ele é o mesmo só que com um outro por cima. https://t.co/mSNhJwI6MJ"
704,"@Ronaldo_aff Chato pra porraaaa, mentira tu é foda o cara q mais aparece na minha tl"
705,@Ronaldo_aff Hiruzen kkkkkk
706,"@_fon_dare Ahan. That’s what they wrote in the news paper na😂😂 it’s not me that said it. 

But yes, chelsea United and Ronaldo"
707,Lmao Ronaldo going out sad https://t.co/ejFE7fSZ0j
708,"@omaakatugba You missed the fact that for the duration of his stay before this season he was playing with a metal plate on his angle, anyway maybe find a player like Bale, Modric, Ronaldo who went there in their peak form,"
709,"@Javii_Velazquez Facilísimo de entender. Un club se puede permitir las indisciplinas de un jugador top 10 histórico como Ronaldo o CR, pero no de uno del montón que no ha empatado con nadie como RDT 👍🏼"
710,@GlennRunnalls Now just to dump Ronaldo and Maguire
711,@AndresFutboll95 @FabrizioRomano After ronaldo suiiiiii
712,@Betclic #MercatoBetclic  Ronaldo !
713,"@min1kid__ La tipa diceva che lo United voleva sbolognare Ronaldo e io ho detto che è falso perché è lui che vuole andare via per giocare la Champions.
E nonostante ciò ancora dubito che lui consideri il Napoli"
714,"@DiffHamza prendre ronaldo est bien mieux que aubam, meme à 50 ans"
715,@sngwake @memepoliceman @MaximBunny @TeamCRonaldo Why did you start talking about araujo? Quite irrelevant is it not? It is a post about Ronaldo. Its almost as if you start bringing irrelevant information to the table when your boyfriend gets proven wrong?
716,"@ZPhvntom @3miebabie @Blue_Footy @chimdie_ Lol, Ronaldo will not play for any team in England where he’ll play against man utd. It’s just like telling him to play for Barcelona, forget all those rumors"
717,Sah c triste de voir plus personne pr ronaldo en vrai il gâche sa fin de carrière https://t.co/5gw8y0fjst
718,So... would you let Ronaldo leave even if we don't bring anyone in?
719,@trtspor bu paralara transfer olup da hakkını veren tek adam gördü bu gözler o da Cristiano Ronaldo
720,"🗣️
The best player you’ve ever played against?

Jordan Pickford:

“Cristiano Ronaldo. The career he’s had, the record breaking goals. Playing against him is a privilege.” https://t.co/0cAN0Xoiw4"
721,"@uratangaziki Good finisher than anyone mubo Dufite, umurusha ni Ronaldo"
722,@wali_hassan_01 Why you love Messi and Ronaldo?
723,"Aquí se cree hasta el final, vamos @Cristiano lo mejor está por llegar"
724,@Blue_Footy I’d still take Ronaldo ahead of Aubameyang really https://t.co/g9KpibFNDQ
725,@LivingS34637671 @uday462 @ronaldo_mb_dhf Na caste ento Telusa bro Niku
726,"@Pucela_Fichajes @realvalladolid @Valla_Plural Ronaldo es el presidente, y el que hace los fichajes y responsable de ellos DD Fran, si no está de acuerdo dimisión y a otra cosa, lo que ha echo hasta hora tiene pocas luces"
727,@nocontextfooty Context: ronaldo owns city
728,"Meru Azziad Wajackoyah Supreme court Junet Raila IRBC LGBTQ Arsenal and Liverpool
Karen
Ronaldo https://t.co/PbMYIisTxZ"
729,@ronaldo_mb_dhf @thalabheem333 Jalsa Ladhu Tammudu Ladhu 🤣
730,Ronaldo when he successfully runs from Man U https://t.co/u1ia5azlBb
731,This my fav Ronaldo goal https://t.co/3wlvZH6NtO
732,"@procopiocardozo @emersonpancieri @Cruzeiro @leonageral isso preocupa um pouco... ninguém sabe o que ronaldo fará para próxima temporada, se vai aumentar a folha pra jogar um campeonato mais dificil, ou se vai manter uma folha baixa correndo risco de fazer bate e volta pra série B..."
733,@TimelineCR7 Its looking that ronaldo will stay at united 🫤
734,"@gaming_trying @SkySportsPL @Mike87_United Thats what I'm saying how can united fans be happy with ronaldo leaving at the last moment without any replacement.
Only good outcome is we get victor osimhein on loan"
735,Ronaldo x Messi AAAA https://t.co/4ns6mwHBBx
736,@FabrizioRomano  pls tell us Ronaldo go to Sporting
737,@bundi_abbey @FutbolJan10 Ronaldo lives rentfree in your head. Guy brought Ronaldo for no reason.
738,@Cristiano Me ajude por seu filho morto
739,"Toxic Ronaldo smiling in training how dare he
#CR7𓃵 https://t.co/v7BHAtQ5Nt"
740,"@ManUnitedZone_ @JonathanShrager Yea, they can keep him. We will keep Ronaldo but we're not paying €130mn for Ohsimen."
741,"@bbosports Ona bakarsak kendisinide ronaldo felan zannediyor ama tırnağı olamaz haberi yok, söyleyende yok herhalde.🪵🪵🪵"
742,"@haikalzarith Southampton mmg bg kitorg pegang bola lame my man to man defending. Lepas 2nd half yg ten hag tweak possession space, tu yg bruno banyak gile space tu. Hahah tktaulah, if its work, then okay jee. Ole bg aku unlucky je dpt si ronaldo tetibe"
743,"@Ronaldo_aff Pelo menos ele não vai fazer como certos hokages, n vou dizer o nome pra n ser cancelada kkkk"
744,@brunoeduardo117 @Carlosh39837994 @TazawaYudi @BrunoRicardoCap @CR7Brasil Kkkkkk como eu disse a época passada jogamos em transição com o Ronaldo como foco isolado do ataque claro que sem ele na frente não vamos ganhar porque mudamos completamente de jogo já pra não mencionar que temos outros problemas no 11 pra além dele
745,@cfcZainJ @ManCitizen06 @Chapito141 @KevinDeBruyne You are losing your mind if you think Hazard is that good 🤣🤣🤣 only person worse is Ronaldo. Giggs Ronaldo Bale Son ljunberg Beckham Ginola Overmars Cole just to name a few. Clearly you haven't been watching football for long have you Son? Hazard is overated
746,@FIFA22_INFO Got shapeshifter ronaldo in the untradeable 5x85 can’t make this up😭
747,c'est une dinguerie qu'un club comme le Milan ac joue avec giroud en pointe wsh 10 million vous avez Cristiano ronaldo #SASMIL pitier acheter le @KingJames @Drake @Yankees @acmilan
748,Mercato: Cold snap for the transfer of Cristiano Ronaldo? https://t.co/F8cZTTGgaQ
749,@Stela08339935 @RonaldO_Fernan Amiga muito bom
750,"@adzioq1 @Miosz21473641 @zuterrr Ibrahimović tam gdzie gra tam jest gwiazda, benzema grając z ronaldo nie był nawet JEDNA Z gwiazd, byl po prostu zwykłym zawodnikiem."
751,"If Messi, Ronaldo and Neymar didn't exist, who would be the best player in this generation? 👀"
752,@14_RMadrid_35 @Mario___RM La única razón por la cual Ronaldo tiene más goles que Messi es porque tiene 150 partidos de ventaja y aún así Messi tiene mejor promedio goleador sin se un 9 de área.
753,@its_kally7 @Ghana_Ronaldo @ChokiVirgin
754,"⬅️Cristiano Ronaldo bu hafta Manchester United'dan Napoli'ye gidebilir.

[🔗Metro] https://t.co/LGyiXeu1yA"
755,"[VIDEO]: Zazoo Crooner, Portable Apologises To Davido After Osun Election Fallout 'I'm Sorry' | MarvelTvUpdates

READ MORE

https://t.co/hZRd7yePMv

#ASUU Manchester United #olosho cristiano ronaldo Oduduwa anthony #BBNaijaLevelUp #BBNaija Burnaboy Lekki Grealish Thiefnubu"
756,Cristiano Ronaldo en Carrington durante el entrenamiento de hoy. Concentración y dedicación siempre 💪🏃🏻🌟 #CR7𓃵 https://t.co/OVPczrK8px
757,Cristiano Ronaldo to...
758,"https://t.co/0NXrS8J7P6

The latest transfer news on Antony, Cristiano Ronaldo, Christian Pulisic and more as deadline day approaches."
759,Messi worth more than Ronaldo? #football #dreamteam
760,⚽️🇵🇹 Desde Portugal informaron que Cristiano Ronaldo tiene el total apoyo y respaldo de su selección  ⬇️⬇️https://t.co/1aD0x4Qk8w
761,@Jetfire190 @OlaTife_OT @Joshua_Ubeku Nah that’s a pic of ronaldo against Brentford
762,@if0hn @br_1t2 @Cristiano عيييب
763,@Ronaldo_aff Entendo
764,@5enshiro @martinezgerzain @FCBKing20 No one gives a fuck about squad updates. That only affects non fut modes. He got -2. Stop crying. They don't downgrade -8 for a bad season. Messi has been enjoying himself so far so expect Ronaldo to be even lower than him next year
765,@SantiaBernabeu @nocontextfooty so ronaldo deserve all his ballon dor ????
766,"We got Christian Ronaldo and Crocdile McDonalds, BIG W"
767,"@MasixoleSesman @Gee_SK @ManUtd @realmadrid Two games I remember between those two teams!! First one With Raul scoring a brace, Madrid won by 3-1. Second one is Ronaldo s hatrick Man United wining by 4-3! Classic matches thanks to ETV!!"
768,"Les supporters de Marseille ils ont rêvé d'une arrivé de Ronaldo et au final, QUE DAL. Mdrrr 🤣"
769,bunu bu hale taraftar getirdi neden şaşırıyorsunuz ki? Fenerbahçe ile idmana çıkamayacak adamı gittiler Ronaldo yaptılar. bu da ciddi ciddi benim bir eksiğim yok ki Ronaldo’dan falan diyordur. https://t.co/9ryvfheXMn
770,@Fumzerleretour @AchilleBekono @LAW_QLF @SoouullX @saile_jedusor @_Cristiano9_3 Oui mais jamais + complet que Ronaldo mdrrrrr je crois rêver
771,"Je rêve d'un "" Cristiano Ronaldo to Sporting C.p , here we go! Agreement in principle with Manchester United Contract until June 2025 with option until 2026. To be signed tomorrow. 🚨🔴🇵🇹 #MUFC #Sporting https://t.co/aRl9xMZaou"
772,@liva75557585 @Kawamatsu95 Historiquement le plus grand club d’Angleterre et il était en ldc avant Ronaldo hein + bizarrement sans Ronaldo il gagne
773,@powermania11 @ronaldo_mb_dhf 🤣😂😂😂 ndi bro mind emaind 10ginda cm na frst gelavamanandi tharvatha elections ki matladadham
774,"*Ronaldo Transfer Rumours*
🔴🔴🔴A number of Manchester United players were happy when Cristiano Ronaldo made it clear he wanted to leave, as ESPN said.
#ManUnited #ManUtd #MUFC #ManchesterUnited #MUMUfootball https://t.co/jF2chyRhZc"
775,"The common thing between #VIRAT and #Ronaldo is Hard Work .
And in case of #Messi and #Rohit is Talent . 
W ? https://t.co/yUMIig0MGN"
776,"Dövmeyle ilgili her türlü soru ve randevu için @apaci__ronaldo hesabına mesaj atabilirsiniz. 

Instagram adresimiz &gt;&gt; https://t.co/1R0iAiQxF6

YouTube adresimiz &gt;&gt; https://t.co/w7B2A1rhPP https://t.co/KkAfS1WbLi"
777,Am not Ronaldo but I can play ball.
778,Pogba on Cristiano Ronaldo https://t.co/eqkGZwpKej
779,Rejeitamos o Ronaldo para ir buscar um gajo que nunca vi na vida
780,"@InesSainzOf Me ofende el uso erróneo de la mayúscula en Cristiana y Cristiano, solo aceptable gramaticalmente si te llamas así y tu hijo es Cristiano Ronaldo, por ejemplo."
781,"@HxHasNoMemory The only problem I’ve ever had w/this new generation pushing CR7 out is that they can’t deliver the same volume of goals. They suit up for Portugal and underperform. Leão is getting there, but Ronaldo remains our best pure goalscorer until proven otherwise. But that may happen…"
782,"🍽️ 𝑬𝑽𝑬𝑵𝑰𝑵𝑮 𝑼𝑷𝑫𝑨𝑻𝑬 🍽️

🔸 Paredes rejects Arsenal
🔸 Gunners turns to Gakpo
🔸 Chelsea launch Zaha bid
🔸 Ronaldo wants Blues move
🔸 Fofana has Chelsea medical
🔸 Two out, one in for Spurs

 https://t.co/WYY7qvVSVF"
783,@Ronaldo_aff Eu também
784,"@uday462 @USTHAAD_PK_CULT @ronaldo_mb_dhf Pk fans ki am telvadu bro 
Just caste Kosam adokate cheptharu anthey
🤣🤣🤣"
785,@MoiUnfollow @Aklowmid On parle de Messi Ronaldo la ptdrr
786,@DomApuzzo @Angelo24909449 napoli fans would cry tears of joy if Ronaldo wore blue...foh.
787,"@RMadridEngineer Longevity is the answer...
Yes ronaldo isn't that bad on that take... Not as good as Messi imo...
Same goes with Suarez and Benzema take"
788,@_vitor_a_ @ExJohnHonesty @ESPNFC Ronaldo is offside there. Are you honestly trying to suggest he’s not? 😂😂😂
789,@pawalol3 @ReddyPata @uday462 @ronaldo_mb_dhf Shows count chudura mabbot🤣
790,@AnugwoPrincess @Ghana_Ronaldo @Kwabenafelis ifb asap
791,@SkySportsPL This guys is sitting here keeping their jobs with Ronaldo's name. https://t.co/TNCdJ1Ughs
792,@torontolugarlnd 2 günde bi ronaldo messi tartışması bünyeye iyi geliyor
793,"@CristianoXtra_ Greatest football player of all time, the GOAT @Cristiano"
794,@Cristiano Ronaldo and Jose Mourinho are Portugal's gift to the football world. https://t.co/Vs1sgZ3rZE
795,@Fumzerleretour @AchilleBekono @wahraniii6 @SoouullX @saile_jedusor @_Cristiano9_3 Oui on est courant mais dans aucune dimensions kdb est plus habile devant les but que Ronaldo
796,"@FrankKhalidUK @paulpogba @Cristiano Jose called CR7 a footballing nuclear weapon.....

I wise Chelsea can get him"
797,2.gol muazzam. Bazı zamanlar bu Ronaldo'nun hasreti çöküyor https://t.co/Ev69Pz5NdJ
798,"Hired Moyes with no plan or wishlist, hire van gaal who accepted Di Maria despite not wanting him but addidas did. Hired mourinho who was saddled with pogba against his wishes and won the Europe before hiring Ole and foisting Ronaldo on him. At least EtH came prepared, back him"
799,@Sporting_CP announce Ronaldo
800,"Ronaldo 4e, Haaland 2e, le Top 5 des attaquants avec le plus de triplés depuis 2020 
https://t.co/iVxjyRDPiY"
801,Only the greatest Cristiano Ronaldo can do this to the greatest defender of all time https://t.co/lgDvqWJyNU
